,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
25,316.0,쏘카,19780.0,60.0,+0.30%,100.0,6486.0,32791.0,1.07,384439.0,-15.31,-18.43,
26,317.0,한국단자,61900.0,300.0,+0.49%,500.0,6447.0,10415.0,24.06,13372.0,8.84,8.09,
27,318.0,KODEX 자동차,21395.0,295.0,-1.36%,0.0,6429.0,30050.0,0.34,523904.0,,,
28,319.0,KCC글라스,39750.0,300.0,-0.75%,1000.0,6348.0,15971.0,10.26,26155.0,7.77,5.58,
29,320.0,NICE평가정보,10560.0,40.0,-0.38%,500.0,6347.0,60108.0,33.25,46737.0,11.43,15.76,
33,321.0,쿠쿠홀딩스,17800.0,0.0,0.00%,100.0,6330.0,35562.0,10.09,22410.0,4.86,12.72,
34,322.0,신한 레버리지 WTI원유 선물 ETN(H),1235.0,5.0,-0.40%,0.0,6175.0,500000.0,0.0,264170.0,,,
35,323.0,신영증권,64900.0,200.0,+0.31%,5000.0,6123.0,9434.0,7.57,3233.0,6.28,6.66,
36,324.0,케이카,12700.0,140.0,-1.09%,500.0,6119.0,48182.0,7.01,32862.0,21.53,11.8,
37,325.0,ARIRANG 200,37940.0,385.0,-1.00%,0.0,6108.0,16100.0,3.12,69735.0,,,
41,326.0,신세계인터내셔날,17100.0,50.0,-0.29%,1000.0,6105.0,35700.0,5.35,68926.0,15.57,4.67,
42,327.0,애경케미칼,12510.0,120.0,+0.97%,500.0,6086.0,48649.0,1.2,128744.0,18.4,4.52,
43,328.0,QV 코스피 변동성 매칭형 양매도 ETN,8680.0,0.0,0.00%,0.0,6076.0,70000.0,0.0,0.0,,,
44,329.0,TIGER 25-10 회사채(A+이상)액티브,52575.0,50.0,+0.10%,0.0,6019.0,11448.0,0.0,92509.0,,,
45,330.0,티웨이항공,2790.0,15.0,-0.53%,500.0,6009.0,215379.0,1.54,613292.0,5.84,91.56,
49,331.0,대한해운,1881.0,27.0,-1.42%,500.0,6004.0,319177.0,6.46,3871645.0,8.79,4.36,
50,332.0,SNT다이내믹스,17930.0,60.0,-0.33%,2500.0,5962.0,33253.0,5.93,108788.0,12.04,7.29,
51,333.0,유니드,87500.0,1200.0,+1.39%,5000.0,5922.0,6768.0,14.31,40746.0,36.41,1.8,
52,334.0,동아에스티,68500.0,600.0,+0.88%,5000.0,5901.0,8615.0,20.95,19498.0,54.11,1.67,
53,335.0,비에이치,17050.0,100.0,+0.59%,500.0,5876.0,34464.0,10.39,200153.0,6.48,15.11,
57,336.0,LS에코에너지,19040.0,1040.0,+5.78%,500.0,5831.0,30625.0,1.63,2436362.0,141.04,2.82,
58,337.0,삼양홀딩스,67900.0,0.0,0.00%,5000.0,5815.0,8564.0,8.53,8461.0,3.49,9.11,
59,338.0,빙그레,58700.0,100.0,+0.17%,5000.0,5783.0,9851.0,22.32,28231.0,6.71,14.17,
60,339.0,TIGER 차이나항셍테크,5285.0,35.0,-0.66%,0.0,5753.0,108850.0,0.0,1687910.0,,,
61,340.0,자화전자,25950.0,650.0,+2.57%,500.0,5749.0,22156.0,8.38,129952.0,-22.98,-6.76,
65,341.0,PI첨단소재,19410.0,390.0,-1.97%,500.0,5700.0,29366.0,7.3,86531.0,-318.2,-0.55,
66,342.0,F&F홀딩스,14540.0,50.0,-0.34%,500.0,5687.0,39114.0,0.14,13677.0,4.65,5.84,
67,343.0,TIGER 1년은행양도성예금증서액티브(합성),1007390.0,100.0,+0.01%,0.0,5663.0,562.0,0.0,32278.0,,,
68,344.0,TIGER 미국달러단기채권액티브,12140.0,100.0,+0.83%,0.0,5656.0,46590.0,0.0,192022.0,,,
69,345.0,신한알파리츠,6360.0,110.0,+1.76%,1000.0,5603.0,88100.0,9.29,198091.0,7.28,13.98,
73,346.0,동국제강,11210.0,40.0,-0.36%,5000.0,5561.0,49608.0,29.72,93636.0,2.29,,
74,347.0,아세아,261000.0,500.0,+0.19%,5000.0,5522.0,2116.0,7.95,3925.0,6.04,9.06,
75,348.0,교보증권,4810.0,90.0,-1.84%,5000.0,5482.0,113963.0,1.1,69065.0,5.8,3.93,
76,349.0,한국카본,10520.0,10.0,-0.09%,500.0,5461.0,51908.0,3.2,119835.0,-35.9,-3.13,
77,350.0,HANARO 200,37270.0,415.0,-1.10%,0.0,5460.0,14650.0,13.81,2863.0,,,
1,351.0,롯데정보통신,35200.0,500.0,+1.44%,5000.0,5420.0,15396.0,1.98,62694.0,12.9,9.98,
2,352.0,KODEX 미국빅테크10(H),37155.0,685.0,+1.88%,0.0,5380.0,14480.0,0.02,567281.0,,,
3,353.0,디아이,18940.0,1360.0,+7.74%,500.0,5360.0,28300.0,8.54,12279023.0,170.63,2.09,
